"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Перейти на главную страницу, подтвердить использование cookie (если нужно), проверить пару вопрос-ответ","4113","Проверка вопросов и ответов","tests","Tue Jul 01 02:29:10 MSK 2025","passed","Tue Jul 01 02:29:14 MSK 2025","TestMainPage","test_main_page","",""
"Перейти на страницу создания заказа, кликнуть на логотип Самоката, проверить, что произошел переход на главную страницу","3697","Тест перехода по клику на логотип Самоката","tests","Tue Jul 01 02:33:04 MSK 2025","passed","Tue Jul 01 02:33:07 MSK 2025","TestTransitionPage","test_transition_page","",""
"Перейти на главную страницу, подтвердить использование cookie (если нужно), проверить пару вопрос-ответ","4730","Проверка вопросов и ответов","tests","Tue Jul 01 02:30:54 MSK 2025","passed","Tue Jul 01 02:30:59 MSK 2025","TestMainPage","test_main_page","",""
"Перейти на главную страницу, подтвердить использование cookie (если нужно), проверить пару вопрос-ответ","4141","Проверка вопросов и ответов","tests","Tue Jul 01 02:31:34 MSK 2025","passed","Tue Jul 01 02:31:38 MSK 2025","TestMainPage","test_main_page","",""
"Перейти на главную страницу, подтвердить использование cookie (если нужно), проверить пару вопрос-ответ","4757","Проверка вопросов и ответов","tests","Tue Jul 01 02:29:30 MSK 2025","passed","Tue Jul 01 02:29:35 MSK 2025","TestMainPage","test_main_page","",""
"Перейти на главную страницу, нажать кнопку ""Заказать"", заполнить данные для заказа, проверить, что появилось сообщение об успешном завершении заказа","8403","Проверка регистрации заказа","tests","Tue Jul 01 02:32:17 MSK 2025","passed","Tue Jul 01 02:32:26 MSK 2025","TestOrderPage","test_order_page","",""
"Перейти на главную страницу, нажать кнопку ""Заказать"", заполнить данные для заказа, проверить, что появилось сообщение об успешном завершении заказа","8648","Проверка регистрации заказа","tests","Tue Jul 01 02:31:53 MSK 2025","passed","Tue Jul 01 02:32:02 MSK 2025","TestOrderPage","test_order_page","",""
"Перейти на страницу создания заказа, кликнуть на логотип Яндекса, проверить, что произошел переход на Дзен","6589","Тест перехода по клику на логотип Яндекса","tests","Tue Jul 01 02:32:41 MSK 2025","passed","Tue Jul 01 02:32:47 MSK 2025","TestTransitionPage","test_transition_page","",""
"Перейти на главную страницу, подтвердить использование cookie (если нужно), проверить пару вопрос-ответ","4899","Проверка вопросов и ответов","tests","Tue Jul 01 02:30:12 MSK 2025","passed","Tue Jul 01 02:30:16 MSK 2025","TestMainPage","test_main_page","",""
"Перейти на главную страницу, подтвердить использование cookie (если нужно), проверить пару вопрос-ответ","4511","Проверка вопросов и ответов","tests","Tue Jul 01 02:30:34 MSK 2025","passed","Tue Jul 01 02:30:38 MSK 2025","TestMainPage","test_main_page","",""
"Перейти на главную страницу, подтвердить использование cookie (если нужно), проверить пару вопрос-ответ","4492","Проверка вопросов и ответов","tests","Tue Jul 01 02:29:50 MSK 2025","passed","Tue Jul 01 02:29:55 MSK 2025","TestMainPage","test_main_page","",""
"Перейти на главную страницу, подтвердить использование cookie (если нужно), проверить пару вопрос-ответ","4406","Проверка вопросов и ответов","tests","Tue Jul 01 02:31:15 MSK 2025","passed","Tue Jul 01 02:31:19 MSK 2025","TestMainPage","test_main_page","",""
